DecisionScore,Anomaly
-0.0076445210622066995,1
-9.34360673841006e-05,1
0.007119027059766969,0
0.013950936621666576,0
0.020483207765703115,0
0.02671601646985633,0
0.03262488324676127,0
0.03825104323108253,0
0.04347028610333359,0
0.04837837005403811,0
0.05306609050251798,0
0.057485681558340884,0
0.06156809664600282,0
0.06542435505379052,0
0.06900977125764252,0
0.07230284159871059,0
0.0753471648099,0
0.07794265450058058,0
0.08018723791316251,0
0.082436013621082,0
0.08446099109718652,0
0.08625546184793875,0
0.08778993486641373,0
0.0891888534923222,0
0.09042819237567334,0
-0.005381691529575683,1
7.322758084127301e-05,0
0.004470184652255238,0
0.008249402040328313,0
0.011408982992421546,0
0.014239748541395425,0
0.016304793208184787,0
0.01776203960314926,0
0.020114773669795305,0
0.02051148568697503,0
0.020990602598611074,0
0.020539369526987983,0
0.02002467812704567,0
0.018436031235567807,0
0.01620422645986297,0
0.013467282244735479,0
0.009575681775007894,0
0.005039513394285766,0
0.00018506132265394548,0
0.0927154941288566,0
0.09178104235696849,0
0.09101131517710281,0
0.03460785842726044,0
0.03749602635462734,0
0.03797825331549487,0
0.03422753394194933,0
0.023175459109528784,0
0.015686966064499375,0
0.009342382760929802,0
-0.00016175158602949047,1
0.015759366255778895,0
0.021744427725600257,0
0.020559112479363817,0
0.017660965429018738,0
0.020247729638380285,0
0.024393690193099893,0
0.02481898835321661,0
0.03596809653227928,0
0.057016004934205,0
0.06970160130099234,0
0.06925224948393205,0
0.08384363816310003,0
0.10412182602632769,0
0.10308309943813931,0
0.10105541811795749,0
0.0989339591949181,0
0.09941760972245373,0
0.10525620032092609,0
0.10816363500032322,0
0.10657383470638893,0
0.1053741903069152,0
0.10444169709047757,0
0.10295656132066733,0
0.10398521552057649,0
0.11334731148105659,0
0.11928895164730924,0
0.12059661255414778,0
0.12055916306225578,0
0.12090751935352895,0
0.1207874652209544,0
0.119979121576963,0
0.11914366066300008,0
0.11822384236890549,0
0.11779094142671953,0
0.11740489061841752,0
0.1164829575389521,0
0.1166251677831367,0
0.11547989824416605,0
0.11434987865100177,0
0.11311382155595173,0
0.11159020509103046,0
0.10990880359560906,0
0.10813655843128278,0
0.10644155920876308,0
0.10542289594351173,0
0.10337957016943844,0
0.10121144158479511,0
0.09854441545280679,0
0.09572853797136882,0
0.09220747313244382,0
0.08912652240572982,0
0.08501532034104109,0
0.08137680911411671,0
0.07785686038533335,0
0.07358990422920453,0
0.06940430785221507,0
0.06439744797224645,0
0.05887055565339794,0
0.05304880719591898,0
0.04813167577575728,0
0.03917075478369347,0
0.03374120856967089,0
0.027989712968636615,0
0.021979575465750134,0
0.015407045253877483,0
0.008283590280178332,0
-1.8293594903351362e-05,1
-0.007453711456647749,1
2.156970978273165e-06,0
0.004144873927191428,0
0.00749648519202184,0
0.01037154369008575,0
0.01163236844879001,0
0.011174431444170185,0
0.009187923354476712,0
0.005449908118639213,0
-1.827063622394931e-05,1
0.002203697193514209,0
3.132823109042171e-05,0
