Sequence_Index,Reconstruction_Error,Best_Threshold,Anomaly_Label
0,0.6587966269373303,2.0494247611680345,0
1,0.02041167166844681,2.0494247611680345,0
2,0.20251930360576192,2.0494247611680345,0
3,0.1655974622343778,2.0494247611680345,0
4,0.12319581647152075,2.0494247611680345,0
5,0.10082507057476783,2.0494247611680345,0
6,0.02842897774123497,2.0494247611680345,0
7,0.03185769354748546,2.0494247611680345,0
8,0.07680478082104847,2.0494247611680345,0
9,0.05018581153073801,2.0494247611680345,0
10,0.22931590284302367,2.0494247611680345,0
11,0.16854354431730478,2.0494247611680345,0
12,0.1790144130122308,2.0494247611680345,0
13,0.17031068002902938,2.0494247611680345,0
14,0.07928129315425231,2.0494247611680345,0
15,0.07390726112419851,2.0494247611680345,0
16,0.06569972262818824,2.0494247611680345,0
17,0.19988161589934506,2.0494247611680345,0
18,2.0494247611680345,2.0494247611680345,1
19,2.392512620182483,2.0494247611680345,1
20,2.6395147085355943,2.0494247611680345,1
21,2.957554901255609,2.0494247611680345,1
22,1.166199936702087,2.0494247611680345,0
23,0.9761571316742692,2.0494247611680345,0
24,0.9601175070188901,2.0494247611680345,0
25,0.8313686794647399,2.0494247611680345,0
26,0.15018175860036487,2.0494247611680345,0
27,0.081263037498056,2.0494247611680345,0
28,0.016741043016952558,2.0494247611680345,0
29,0.019937498360471814,2.0494247611680345,0
30,0.038588619831477045,2.0494247611680345,0
31,0.034446625617840725,2.0494247611680345,0
32,0.07817110668055369,2.0494247611680345,0
33,0.11369782621520204,2.0494247611680345,0
34,0.08189343698303811,2.0494247611680345,0
35,0.029065753914155733,2.0494247611680345,0
36,0.049438553607886945,2.0494247611680345,0
37,0.07776175528212022,2.0494247611680345,0
38,0.06011696557437025,2.0494247611680345,0
39,0.5352972941510714,2.0494247611680345,0
40,0.42560518771505906,2.0494247611680345,0
41,0.30632967905079705,2.0494247611680345,0
42,0.33381242709720327,2.0494247611680345,0
43,0.040735289658661473,2.0494247611680345,0
44,0.18078804186180392,2.0494247611680345,0
45,0.18144771537298693,2.0494247611680345,0
46,0.15119477083992514,2.0494247611680345,0
47,0.12130912932187644,2.0494247611680345,0
48,0.035095328771454645,2.0494247611680345,0
49,0.013912289888371464,2.0494247611680345,0
50,0.7313327756934934,2.0494247611680345,0
51,3.356139499790489,2.0494247611680345,1
52,1.8861569024348572,2.0494247611680345,0
53,5.558536878956191,2.0494247611680345,1
54,7.274900512748234,2.0494247611680345,1
55,2.2059350554068526,2.0494247611680345,1
56,0.0983747866980825,2.0494247611680345,0
57,0.07092166288763373,2.0494247611680345,0
58,0.029240535829366553,2.0494247611680345,0
59,0.04630660664829708,2.0494247611680345,0
60,0.07895381092376068,2.0494247611680345,0
61,0.08723438679444899,2.0494247611680345,0
62,0.0688492537030413,2.0494247611680345,0
63,0.05424868725640143,2.0494247611680345,0
64,1.598837997963129,2.0494247611680345,0
65,1.2878134619697659,2.0494247611680345,0
66,1.4236791314896136,2.0494247611680345,0
67,1.6046566638640982,2.0494247611680345,0
68,0.32094526195609907,2.0494247611680345,0
69,0.27458486066586957,2.0494247611680345,0
70,0.2520522037661514,2.0494247611680345,0
71,0.19373134330297814,2.0494247611680345,0
72,0.027376934921526375,2.0494247611680345,0
73,0.4845630417093914,2.0494247611680345,0
74,0.46126297324503973,2.0494247611680345,0
75,0.7135151253097526,2.0494247611680345,0
76,0.7151977949169921,2.0494247611680345,0
77,0.5598018669480588,2.0494247611680345,0
78,0.6920892680910107,2.0494247611680345,0
79,0.39335289701850557,2.0494247611680345,0
80,0.4597992200619987,2.0494247611680345,0
81,0.5112158730984979,2.0494247611680345,0
82,0.35153052181497874,2.0494247611680345,0
83,0.05443680590261004,2.0494247611680345,0
84,0.05385830740307546,2.0494247611680345,0
85,0.07350055681743203,2.0494247611680345,0
86,0.06197701278658647,2.0494247611680345,0
87,0.018543140051538752,2.0494247611680345,0
88,0.04795915870320697,2.0494247611680345,0
89,0.07623235735914725,2.0494247611680345,0
90,0.05824549179426977,2.0494247611680345,0
91,0.055500849184473136,2.0494247611680345,0
92,0.036835204877188193,2.0494247611680345,0
93,0.11649538432581359,2.0494247611680345,0
94,0.6453098948902338,2.0494247611680345,0
95,0.6341547415802878,2.0494247611680345,0
96,1.409648943806916,2.0494247611680345,0
