DecisionScore,Anomaly
-1.380401466981425,1
-1.3644394362785874,1
-1.3506116579017942,1
-1.3367896878111196,1
-1.3229735263850841,1
-1.3091631740006164,1
-1.2953586310342189,1
-1.2815598978618539,1
-1.2656382812505456,1
-1.2518509771865922,1
-1.2380694839874877,1
-1.2242938020247038,1
-1.2105239316686607,1
-1.1967598732873057,1
-1.1830016272500075,1
-1.1671204403592412,1
-1.153373628191872,1
-1.139632629417207,1
-1.125897444397907,1
-1.1121680734970028,1
-1.098444517075933,1
-1.0847267754953407,1
-1.0688860335683614,1
-1.0551797305138564,1
-1.041479243325739,1
-1.0277845723606163,1
-1.0140957179731913,1
-1.000412680518025,1
-0.9867354603473757,1
-0.9709351782419731,1
-0.957269401146533,1
-0.9436094423392092,1
-0.9299553021693612,1
-0.9163069809843876,1
-0.9026644791312322,1
-0.8890277969549913,1
-0.8732679891433008,1
-0.8596427544840708,1
-0.8460233404828728,1
-0.8324097474809946,1
-0.8188019758186158,1
-0.80520002583458,1
-0.7916038978683559,1
-0.7758845784379673,1
-0.7622999023230932,1
-0.7487210491835867,1
-0.735148019353062,1
-0.7215808131645076,1
-0.7080194309492072,1
-0.6944638730378472,1
-0.6787850556899002,1
-0.6652409538593815,1
-2.0914231576516613,1
-2.0780063272971177,1
-2.0645953409597553,1
-2.051190198975263,1
-2.0368351896005947,1
-2.0234416679273295,1
-2.0100539916036837,1
-1.9966721609605997,1
-1.9832961763285653,1
-1.9699260380370447,1
-1.9565617464144225,1
-1.9432033017869799,1
-1.9279385948093761,1
-1.914591706293919,1
-1.2496728407680848,1
-1.2362884124007678,1
-1.2229098275597607,1
-1.209537086561113,1
-1.1961701897189698,1
-1.1793936341956055,1
-1.8261113624831182,1
-1.8128116139897088,1
-1.7995177160340745,1
-1.1021544567835804,1
-1.0888204744635175,1
-1.0754923381622064,1
-1.0621700481851803,1
-1.0488536048377455,1
-1.0355430084240709,1
-1.0222382592464214,1
-1.0080890794530433,1
-1.686845025303569,1
-0.9730123812786076,1
