sequence_index,reconstruction_error,is_anomaly
0,0.05354137048989657,0
1,0.01261281258482201,0
2,0.012150084570708816,0
3,0.01164848824828532,0
4,0.011041966624557675,0
5,0.010164279416774162,0
6,0.010421754982707915,0
7,0.010712704583500515,0
8,0.010520348074613124,0
9,0.010349421441581522,0
10,0.009862938341871458,0
11,0.009230422837965472,0
12,0.00964356666630325,0
13,0.016244237239461223,0
14,0.016831678721345687,0
15,0.012785968165650398,0
16,0.012065336269398296,0
17,0.013093946132637362,0
18,0.01348586617945044,0
19,0.012241253458828346,0
20,0.01591543859062774,0
21,0.016765598195714583,0
22,0.009704592835418035,0
23,0.008528125672349519,0
24,0.008722157589400965,0
25,0.009388556133466765,0
26,0.009908107120963244,0
27,0.009996195689882349,0
28,0.00978758232021013,0
29,0.009759511620918909,0
30,0.01978640994323462,0
31,0.024355168685305007,0
32,0.025001728165372397,0
33,0.06322092207209816,0
34,0.0544317181291916,0
35,0.07163134066805923,0
36,0.0707400141621913,0
37,0.060788080867299275,0
38,0.04342511604729226,0
39,0.0397840788521671,0
40,0.0408946694547212,0
41,0.10369681176412611,0
42,0.015505357887311593,0
43,0.01490585771646512,0
44,0.012387143553794246,0
45,0.012051117566166565,0
46,0.010979424553835465,0
47,0.011158374960225098,0
48,0.010364049645331079,0
49,0.022283760017913625,0
50,0.02014389407881687,0
51,0.018030131637933846,0
52,0.016323740328832968,0
53,0.018522568980450505,0
54,0.017665772013125438,0
55,0.019615997111195792,0
56,0.02321617185198909,0
57,0.02043112144969295,0
58,0.009026467710038445,0
59,0.009308311104020483,0
60,0.009686680209704063,0
61,0.040363988434883986,0
62,0.04296053112044263,0
63,0.03698178458880536,0
64,0.033597216018614026,0
65,0.0314907104537008,0
66,0.02822238204979699,0
67,0.030035557228495435,0
68,0.03577211677549237,0
69,0.053011524883460344,0
70,0.017070027540857794,0
71,0.014763158091042838,0
72,0.010102037137922095,0
73,0.00967545196567286,0
74,0.00925810826609331,0
75,0.02089827773403398,0
76,0.01926434500494826,0
77,0.016772963806039657,0
78,0.01638291155745254,0
79,0.018700564507990406,0
80,0.01811067953357653,0
81,0.020225383000571324,0
82,0.02380778293400586,0
83,0.021437847517150218,0
84,0.013169889890047628,0
85,0.013550314940290763,0
86,0.015416116939244181,0
87,0.015700524599138378,0
88,0.014554097326782702,0
89,0.014563940643536109,0
90,0.015103310924594882,0
91,0.015331182782675768,0
92,0.015451616686659132,0
93,0.03799392907570604,0
94,0.03156742099769212,0
95,0.030050252384288854,0
96,0.029324046733808562,0
97,0.026672043022218112,0
98,0.023599424396844947,0
99,0.024330414629938922,0
100,0.02864511750293369,0
101,0.04225754345462175,0
102,0.012131972544654633,0
103,0.00986234100215085,0
104,0.00927176776346028,0
105,0.02081241773897672,0
106,0.019261610457388122,0
107,0.016832229707228644,0
108,0.016304927729742,0
109,0.018504604017580136,0
110,0.017651377150738178,0
111,0.01972835105439875,0
112,0.02329892850011007,0
113,0.020381429143360722,0
114,0.00912751629086485,0
115,0.009395772015413483,0
116,0.009789825241312354,0
117,0.036586367976485464,0
118,0.0348614288499699,0
119,0.031182896067496427,0
120,0.029548948623744905,0
121,0.027433451570150147,0
122,0.024879655379915596,0
123,0.025574327343759046,0
124,0.02968273632929175,0
125,0.043535627200313363,0
126,0.013595365681751096,0
127,0.009848691169381817,0
128,0.009346915014349203,0
129,0.02093037443836375,0
130,0.019368348826262823,0
131,0.016926509129854866,0
132,0.016336492907116345,0
133,0.0185062481459455,0
134,0.017639481962429173,0
135,0.0197119789819084,0
136,0.023233392051571024,0
137,0.020470720249590926,0
138,0.009163137895963912,0
139,0.009384876575666735,0
140,0.009760530406860486,0
141,0.03582147076783049,0
142,0.03405926625149596,0
143,0.030334043352429067,0
144,0.028674844912915935,0
145,0.026695740778752215,0
146,0.024289530959295643,0
147,0.02506758817468985,0
148,0.029293984057563425,0
149,0.043072076195859746,0
150,0.013042904841609847,0
151,0.009887415084681654,0
152,0.009388586426184904,0
153,0.020984218402057723,0
154,0.019402314856002325,0
155,0.01687254925931272,0
156,0.016436272144373484,0
157,0.01877537438933445,0
158,0.018049310770331506,0
159,0.020165335183672344,0
160,0.023831436601394862,0
161,0.02127261765057126,0
162,0.03232825225341452,0
163,0.028793711065719752,0
164,0.02717768736406478,0
165,0.02635756588515453,0
166,0.024115518828599525,0
167,0.02102561690186073,0
168,0.022303590857389404,0
169,0.027602222677300045,0
170,0.040913194779407545,0
171,0.010978894045409323,0
172,0.010400127065702832,0
173,0.009972585092050896,0
174,0.021516605600507777,0
175,0.019969824659684172,0
176,0.017450008569862546,0
177,0.016301024135075715,0
178,0.018441177718470807,0
179,0.017598947612134992,0
180,0.019512044725163106,0
181,0.023101340744215118,0
182,0.020396594427174747,0
183,0.008865724369943132,0
184,0.00904743299051892,0
185,0.009406335417335893,0
186,0.01841478697248054,0
187,0.023125318916389928,0
188,0.020869442059664768,0
189,0.019485659258458358,0
190,0.016183140956996536,0
191,0.016775832520376382,0
192,0.016737653756420338,0
193,0.017743999194377226,0
194,0.02313500584882209,0
195,0.010986069331086989,0
196,0.010861292463246942,0
197,0.010292819405729424,0
198,0.009874222494376502,0
199,0.01538549927769738,0
200,0.015615594363962149,0
201,0.012441964972843491,0
202,0.010977575542151381,0
203,0.012136897260485814,0
204,0.012027557152148531,0
205,0.010754529448829197,0
206,0.01538531303035995,0
207,0.01636238380074247,0
208,0.00976525913863026,0
209,0.0090324697612687,0
210,0.009189274156152895,0
211,0.009637643401182314,0
212,0.009790627905550606,0
213,0.009742223140172966,0
214,0.059488248995639946,0
215,0.07469442233311066,0
216,0.08475413369911476,0
217,0.09575776820853837,0
218,0.10010523623764292,0
219,0.10146109542698528,0
220,0.10203439942984846,0
221,0.1000136005315438,0
222,0.08393070610525573,0
223,0.02584412843307741,0
224,0.022574534179254667,0
225,0.02224345818169514,0
226,0.02119204587134451,0
227,0.020356967442733905,0
228,0.029140746077842887,0
229,0.026280663234091325,0
230,0.02585857917159782,0
231,0.025374310333521544,0
232,0.025184431102177707,0
233,0.02485073384204334,0
234,0.0301744411750581,0
235,0.02878100575997907,0
236,0.025617600805688256,0
237,0.02286391184216271,0
238,0.01215454203279381,0
239,0.012636828095383919,0
240,0.01320614520331795,0
241,0.018695626521442542,0
242,0.026941000886020094,0
243,0.02223652795767095,0
244,0.021536559140472027,0
245,0.01946082903821023,0
246,0.017375764082913504,0
247,0.016698320127818442,0
248,0.01762176137495079,0
249,0.024475395782388328,0
250,0.022733382563336752,0
251,0.022255055604481575,0
252,0.021754079553036258,0
253,0.021657985117010538,0
254,0.021437227813669264,0
255,0.027967744460470807,0
256,0.035665386147137254,0
257,0.044328044118627105,0
258,0.10771743393088178,0
259,0.08559068614743848,0
260,0.08591422991235625,0
261,0.09448106723815496,0
262,0.0897096559359403,0
263,0.12699055878786056,0
264,0.2265902040409882,1
265,0.1913845244426749,1
266,0.24293036047420188,1
267,0.13802103355574763,0
268,0.12893375246851405,0
269,0.11143704152745676,0
270,0.11391767441903798,0
271,0.1516597251556666,0
272,0.1164423412376968,0
273,0.10516386945616558,0
274,0.0854389458745986,0
275,0.07461933062098493,0
276,0.07723792593797404,0
277,0.05041087602472348,0
278,0.056864736705428444,0
279,0.057159384112749595,0
280,0.023600095610380647,0
281,0.021350471332946094,0
282,0.022305077586951307,0
283,0.02073406022852658,0
284,0.019516453935638944,0
285,0.017359343553792907,0
286,0.017157324763099373,0
287,0.01674590629000564,0
288,0.028992365878394797,0
289,0.027555876590405693,0
290,0.024773730959757632,0
291,0.02295726172637351,0
292,0.021881781079578378,0
293,0.023047552146562934,0
294,0.03306319774149704,0
295,0.03610763295127421,0
296,0.03115742481858443,0
297,0.019783721590627232,0
298,0.019786595279569698,0
299,0.019380023415080994,0
300,0.053630761007637834,0
301,0.04977696610770161,0
302,0.07525280277600181,0
303,0.07576629658238539,0
304,0.06666770071573075,0
305,0.0639809091062245,0
306,0.07578839595522648,0
307,0.08943199019213174,0
308,0.08544936969995075,0
309,0.04943305957415842,0
310,0.035222610405209055,0
311,0.019353719284500914,0
312,0.019390186111951577,0
313,0.018993582329179717,0
314,0.05234091458293952,0
315,0.05547998103768818,0
316,0.04816070420732024,0
317,0.04141392273202497,0
318,0.03600289820659432,0
319,0.035815032538639366,0
320,0.038845098755842716,0
321,0.0469402846257674,0
322,0.05207271561296193,0
323,0.016816663861855746,0
324,0.016146515368756584,0
325,0.02889873750099143,0
326,0.027557256532260002,0
327,0.024502724326925792,0
328,0.022648378996963592,0
329,0.022345151645768797,0
330,0.023281540472256168,0
331,0.030861904776538,0
332,0.03444437158326757,0
333,0.061785275775229014,0
334,0.048912902050073516,0
335,0.042268323441600315,0
336,0.038289440607893785,0
337,0.03602267084497165,0
338,0.03613629723710451,0
339,0.03956316076333396,0
340,0.04766023507263122,0
341,0.05202639482447569,0
342,0.016190031463246258,0
343,0.015465296887846407,0
