Sequence_Index,Reconstruction_Error,Anomaly_Label
0,0.3781588640389829,Normal
1,0.3821810731999073,Normal
2,0.17100081969953357,Normal
3,0.16532928619646667,Normal
4,0.16548956134087517,Normal
5,0.1737809297998636,Normal
6,0.17845823944487654,Normal
7,0.15830540791381217,Normal
8,0.15398060891734952,Normal
9,0.1591514149629933,Normal
10,0.15951828612248503,Normal
11,0.1533356125531309,Normal
12,0.15251985644878177,Normal
13,1.2528944769559505,Normal
14,1.2863831093976494,Normal
15,1.2644015216917546,Normal
16,1.2987113538205481,Normal
17,1.5908867128420572,Normal
18,1.6207523762367093,Normal
19,1.6321580910458813,Normal
20,1.6011747009189707,Normal
21,1.5836331928735192,Normal
22,1.5871281590189779,Normal
23,0.49967852367220245,Normal
24,0.46228551931410616,Normal
25,0.47859868001888717,Normal
26,0.46196766236158693,Normal
27,0.17013708590176535,Normal
28,0.1323124319705136,Normal
29,0.15059496307988546,Normal
30,0.18349005104391228,Normal
31,0.1926806918460151,Normal
32,0.20952162630516477,Normal
33,0.21065906777157886,Normal
34,0.3137385899462851,Normal
35,0.2881383452059376,Normal
36,0.25457766498580653,Normal
37,0.27332351349645806,Normal
38,0.2812430307981294,Normal
39,0.27540580093638256,Normal
40,0.26015426195914204,Normal
41,0.25817690100936114,Normal
42,0.22705174556191166,Normal
43,0.21238863896531884,Normal
44,0.10528943861823822,Normal
45,0.4118767146136091,Normal
46,2.9197581856462462,Normal
47,3.7414357717142863,Normal
48,3.7540149314227422,Anomaly
49,3.7591303482904266,Anomaly
50,3.7522977919086538,Anomaly
51,3.7448306353399325,Anomaly
52,3.76747936884045,Anomaly
53,3.8041747969795594,Anomaly
54,3.8320577487991203,Anomaly
55,3.548983190314324,Normal
56,1.060882749169107,Normal
57,0.24932604377280393,Normal
58,0.2573057466572829,Normal
59,0.8189035782021872,Normal
60,0.8273656431459372,Normal
61,0.842168057986477,Normal
62,0.8435635457574326,Normal
63,0.8559724655539286,Normal
64,0.8319385339032392,Normal
65,0.8069754159274896,Normal
66,0.8243663992366301,Normal
67,0.8159349428289622,Normal
68,0.8891448613309013,Normal
69,0.3168147672252834,Normal
70,0.4872149113336395,Normal
71,0.48053038560145633,Normal
72,0.45552021365248746,Normal
73,0.5076125518989453,Normal
74,0.6037601779337952,Normal
75,0.6166012360327788,Normal
76,0.5797762487561646,Normal
77,0.5850096666558797,Normal
78,0.5190638473589843,Normal
79,0.5000944896066438,Normal
80,0.3184417319646767,Normal
81,0.3454043343690062,Normal
82,0.3655604069188899,Normal
83,0.29335833412577694,Normal
84,0.20366267212128256,Normal
85,0.2097681644517167,Normal
86,0.22657674999184177,Normal
87,0.23464954739037683,Normal
88,0.19918153279659273,Normal
89,0.3995782454432379,Normal
90,0.41884194019074883,Normal
91,1.133986795919528,Normal
92,1.1098734238724268,Normal
93,1.1077585202437479,Normal
94,1.1265267942304757,Normal
95,1.106586069115933,Normal
96,1.3823449542456894,Normal
97,1.3795343797309507,Normal
98,1.4106215598564589,Normal
99,1.2216058782130967,Normal
100,1.227047919648522,Normal
101,0.5163749377556843,Normal
102,2.124079615273101,Normal
103,2.1144082010397485,Normal
104,2.085780999591862,Normal
105,2.1162016625478235,Normal
106,1.8542440682288615,Normal
107,1.846359268983112,Normal
108,1.8309752684986589,Normal
109,1.8282763307047705,Normal
110,1.7956805973410728,Normal
111,1.7914675114573213,Normal
112,0.19946571234726168,Normal
113,0.1910681522505789,Normal
114,0.1967373700871931,Normal
115,0.1973001788069333,Normal
116,0.18339928346514417,Normal
117,0.18700663259146613,Normal
118,0.2187587651502218,Normal
119,0.23045448866463564,Normal
120,0.247471459158414,Normal
121,0.2256273798214113,Normal
122,0.2095925721366522,Normal
123,0.23730894394420693,Normal
124,2.0858914307387506,Normal
125,2.079761593640522,Normal
