ReconstructionError,Anomaly
0.0008918528848461623,0
0.0011147347946722727,0
0.0012767864134956629,0
0.0010378475402231184,0
0.0008070305843376157,0
0.0006455888746397244,0
0.0005448854818664254,0
0.00048140577810376357,0
0.0004502332339463743,0
0.0004439762532518946,0
0.000438228634289208,0
0.0006180862990247708,0
0.0005089062546997539,0
0.00031468922906107213,0
0.00020046895117245079,0
0.0001864540860101459,0
0.00024251667338203142,0
0.0005454199915150564,0
0.002218122149672446,0
0.008203299863297398,0
0.03001924659955078,1
0.0060881306006628395,0
0.001762365973449545,0
0.0006213810801214477,0
0.0001676945365653956,0
4.786050480923556e-05,0
8.028963888536138e-05,0
0.00034673341392327706,0
0.002250801342394694,0
0.008950206791014752,0
0.030784360313656858,1
0.006194036108877114,0
0.002048564183842607,0
0.0007075337087061887,0
7.701654668505371e-05,0
2.754204660919769e-05,0
1.3047433685030788e-05,0
1.0067540100222616e-05,0
0.00037030729033552673,0
0.004936084254197259,0
0.013755124795442077,0
7.971083912437282e-05,0
0.0016424890243412398,0
0.001049209449358847,0
0.0009888291563828924,0
0.017668737773255734,0
0.01638038468834954,0
0.008152877404883468,0
0.0038838354801380135,0
0.0015359703829787336,0
0.00047732259727241807,0
0.00015354017603785877,0
0.0001958752035798717,0
0.00024318918128774674,0
0.00025156356415990554,0
0.00017467174521577347,0
0.0001863145117091844,0
0.0002524625210302571,0
0.00036408741163794815,0
0.0011476830860937543,0
0.0139273933370038,0
0.024919052607789843,1
0.007999408856227798,0
0.0012480867238495999,0
0.000664113088511186,0
0.00045997713977559505,0
0.00023222957982966863,0
0.000237019566067662,0
0.0003184205068241964,0
0.0004719192540917023,0
0.0006255198082235148,0
0.0005909949149747237,0
0.0005777242638664484,0
0.000605438071653848,0
0.0006039885113626798,0
0.000834775661700298,0
0.0008049715347074216,0
0.00031456441140224564,0
5.666434105212988e-05,0
2.6442546654781346e-05,0
1.83525862556779e-05,0
0.0001792674778314454,0
0.0011770743304964676,0
0.01113811230800068,0
0.012339207154403804,0
0.00048433175268141124,0
0.0007974218072551104,0
0.0012757479374464645,0
0.0006747239412719563,0
0.00047031066083780997,0
0.00032802946230869455,0
0.0002464966987152557,0
0.0002901878978297101,0
0.00031854641362150354,0
0.00032155189123577073,0
0.00032454550152545905,0
0.0003274312178533035,0
0.00032998504017519285,0
0.00033195239007524494,0
0.0003386523739082123,0
0.00034101510803977343,0
0.00034375213197642714,0
0.00034670261233164183,0
0.00034973283456424427,0
0.0003524785418055426,0
0.00035473584573680547,0
0.0003561001400177681,0
0.00036521515764926084,0
0.0003673876567354697,0
0.00037020455873528363,0
0.0003731134662289612,0
0.0003753536650838424,0
0.00037620297766929455,0
0.00038653942681715755,0
0.0003848742737692903,0
0.0004009186225078968,0
0.00040094424545923256,0
0.00040248392273754043,0
0.00040488684638931966,0
0.00040770935707384886,0
0.0004106424992800868,0
0.0004135200835087388,0
0.0004163034834859043,0
0.0004190550607904402,0
0.0004218734243466428,0
0.00042482275575156137,0
0.00042776531791590354,0
0.00043605346673087844,0
0.00044148225576067,0
0.00044028322442060577,0
0.00043423324969589115,0
0.00042731009264392625,0
0.00042291671622256624,0
0.0004293721944899922,0
0.0004713084811352043,0
0.0005931649143525997,0
0.00045757376352813115,0
0.00039546848439978125,0
0.0003687845045575068,0
0.0003600474585341759,0
0.00035644975360763225,0
0.0003556743065502773,0
0.00035778737820088417,0
0.0003631770750601877,0
0.00036999019327419905,0
0.0003749685844718104,0
0.0003776550549102249,0
0.00038022966940347514,0
0.0003827350101548818,0
0.0003851651313565504,0
0.00038969447123309156,0
0.0003923303888453811,0
0.0003950083907199058,0
0.0003973533950249943,0
0.0003992830186779832,0
0.00040547154463651825,0
0.00040743667901300246,0
0.00041192851338878785,0
0.0004144397308947124,0
0.00041703078053150275,0
0.000419262273105387,0
0.00042080614817475135,0
0.00042927699083131866,0
0.0004310958069272193,0
0.000433361905598918,0
0.00043593480717606277,0
0.0004386588816954702,0
0.0004414495757096773,0
0.0004442288623049022,0
0.0004469275617784853,0
0.0004495604937205696,0
0.00045222545296533934,0
0.00045494212466742044,0
0.0004576568361576503,0
0.0004603681978032282,0
0.0004630761896864377,0
0.00046578372184643635,0
0.00045796683664298495,0
0.0004530619065025478,0
0.0004554682204380541,0
