sequence_index,reconstruction_error,is_anomaly
0,0.02521080243902487,0
1,0.004499028592641849,0
2,0.004730003235430263,0
3,0.00528134483527644,0
4,0.0039055488929804635,0
5,0.0040589885304533144,0
6,0.00375732332978695,0
7,0.0036525806357962836,0
8,0.004560436267626276,0
9,0.004838503226093979,0
10,0.004687251822778211,0
11,0.004621162938645892,0
12,0.004494191525885076,0
13,0.0051546337093894895,0
14,0.005023030059900445,0
15,0.004786541254946544,0
16,0.0049822577524817006,0
17,0.005470550953553834,0
18,0.004788335506721772,0
19,0.004445023781762264,0
20,0.008698145397469537,0
21,0.008843893729025111,0
22,0.008285377808851776,0
23,0.010837946937187839,0
24,0.011860972889271952,0
25,0.00897203954897926,0
26,0.010013020961046391,0
27,0.009675917052290286,0
28,0.008098459785249758,0
29,0.008122707683127804,0
30,0.009636604883745518,0
31,0.010949749059272682,0
32,0.012258308005279139,0
33,0.008772334706010635,0
34,0.009383000234642096,0
35,0.008968447729553063,0
36,0.009311738511963173,0
37,0.009586892866722879,0
38,0.00813586504266109,0
39,0.006388173690751465,0
40,0.011312711791991191,0
41,0.012307034049174865,0
42,0.004406728019332343,0
43,0.0045408568344217064,0
44,0.004497547446914825,0
45,0.00453137698113046,0
46,0.004417825898211085,0
47,0.004240360840265059,0
48,0.003600492008638906,0
49,0.004269823436971071,0
50,0.004770623902286592,0
51,0.005448125312862002,0
52,0.00850939555935004,0
53,0.008823244120051501,0
54,0.009594294670008292,0
55,0.009332391095309155,0
56,0.008277339399182392,0
57,0.008999874916084265,0
58,0.008516836658162651,0
59,0.008617468091237054,0
60,0.009649001579359242,0
61,0.007731924307711371,0
62,0.007488650588045517,0
63,0.007720979452763933,0
64,0.00783865366947162,0
65,0.007473065048660204,0
66,0.008248081016796168,0
67,0.00600477163019073,0
68,0.006367703429559815,0
69,0.006748404218656301,0
70,0.007291970528536371,0
71,0.006384605862944178,0
72,0.0037665601785223436,0
73,0.003295032417441344,0
74,0.005989587924936977,0
75,0.006302749449839383,0
76,0.006565755214264067,0
77,0.0066007424675956754,0
78,0.006668537780639088,0
79,0.006633399199931058,0
80,0.006623710778761239,0
81,0.006514861645256241,0
82,0.006314643711814167,0
83,0.007192309910290492,0
84,0.008056029632165099,0
85,0.008717548933216005,0
86,0.00852994899334122,0
87,0.007687976639877194,0
88,0.007032980541303269,0
89,0.007789375981132621,0
90,0.008999269652288786,0
91,0.008818917518315084,0
92,0.009497479312018173,0
93,0.007121620906128727,0
94,0.005329241660075206,0
95,0.004788390898255378,0
