sample_index,SaO2,PR,EEG(sec),ECG,EMG,EOG(L),EOG(R),EEG,AIRFLOW,THOR RES,ABDO RES,is_anomaly_sample
0,96.01115998001926,67.26462862517484,0.9803921568627452,-0.2666666666666666,-0.0,-38.23529411764706,29.41176470588235,-11.76470588235294,-3.984313725490196,1.568627450980392,0.2823529411764706,1
1,96.01115998001926,67.26462862517484,3.92156862745098,-0.2117647058823529,-1.4588246735879793,-17.647058823529413,17.647058823529413,-2.941176470588235,-3.984313725490196,1.2862745098039217,-0.6588235294117647,1
2,96.01115998001926,69.2627085191304,2.941176470588235,-0.2509803921568627,-0.0,14.705882352941176,9.803921568627452,2.941176470588235,-3.984313725490196,-0.5333333333333333,-3.764705882352941,1
3,96.01115998001926,72.25982836006374,-0.0,-0.2039215686274509,0.7294123367939896,-23.52941176470588,9.803921568627452,-5.88235294117647,-2.070588235294118,2.47843137254902,0.5019607843137255,1
4,97.01019749265951,78.24188462794291,-7.84313725490196,-0.2274509803921568,-0.0,40.19607843137255,-29.41176470588235,6.862745098039215,-0.0627450980392156,3.3568627450980397,2.415686274509804,1
5,96.01115998001926,80.23996452189847,5.88235294117647,-0.2588235294117647,0.2431374455979965,-10.784313725490197,13.72549019607843,-2.941176470588235,-1.0980392156862746,1.1294117647058823,0.4078431372549019,1
6,96.01115998001926,81.23900446887625,-9.803921568627452,-0.2352941176470588,-0.7294123367939896,-54.90196078431372,-30.392156862745097,-17.647058823529413,-1.3490196078431371,-0.0627450980392156,-0.8156862745098039,1
7,96.01115998001926,81.23900446887625,1.96078431372549,-0.2196078431372549,0.7294123367939896,27.45098039215686,-3.92156862745098,7.84313725490196,-2.0392156862745097,-1.0980392156862746,-1.9137254901960783,1
8,95.012122467379,80.23996452189847,12.745098039215684,-0.2431372549019607,0.2431374455979965,-23.52941176470588,-0.9803921568627452,1.96078431372549,-3.733333333333333,-2.5725490196078438,-2.196078431372549,1
9,95.012122467379,81.23900446887625,-6.862745098039215,-0.2196078431372549,-0.0,12.745098039215684,-20.588235294117645,0.9803921568627452,1.568627450980392,-0.8156862745098039,-2.070588235294118,1
10,95.012122467379,79.24092457492068,-2.941176470588235,-0.2509803921568627,-0.0,26.47058823529412,-35.294117647058826,0.9803921568627452,0.3764705882352941,-0.5333333333333333,1.4431372549019608,1
