row_id,icd9_code
21.245605,1651.405
22.226074,1655.3855
23.205078,1656.3503
24.183105,1657.3074
25.160645,1658.2605
26.138672,1659.2136
27.1167,1660.1824
28.094238,1661.1355
29.074707,1665.1238
30.052734,1666.0808
31.031738,1667.0378
32.0083,1667.9988
32.987305,1668.9597
33.964355,1669.9167
34.94287,1670.8738
35.922363,1674.8542
36.90088,1675.8152
37.878418,1676.7722
38.855957,1677.741
39.834473,1678.6941
40.81299,1679.6511
41.78955,1680.6042
42.77002,1684.5964
43.748535,1685.5574
44.726074,1686.5144
45.703613,1687.4675
46.681152,1688.4246
47.659668,1689.3855
48.638184,1690.3425
49.617676,1694.3308
50.59619,1695.2878
51.57373,1696.2449
52.55127,1697.2058
53.529785,1698.1667
54.507324,1699.1199
55.484863,1700.0769
56.464844,1704.0574
57.443848,1705.0222
58.42041,1705.9792
59.398926,1706.9402
60.37744,1707.8933
61.35498,1708.8542
62.33252,1709.8191
63.31299,1713.7957
64.291016,1714.7605
65.26807,1715.7175
66.24609,1716.6746
67.22461,1717.6355
68.203125,1718.5925
69.18115,1719.5574
70.160645,1723.53
71.13818,1724.4949
69.973145,9.733104
70.93945,10.908885
71.90723,12.0729475
72.87256,13.23701
73.84277,15.350291
74.80957,16.51826
75.77588,17.678415
76.742676,18.85029
77.708984,20.014353
78.67529,21.178415
79.64209,22.338572
80.60791,23.50654
81.583496,26.58076
82.54834,27.748728
84.67871,738.45575
85.65527,739.46356
86.63281,740.46747
87.609375,741.4753
88.58496,742.4909
89.56641,747.46747
89.29443,31.139353
90.260254,32.307323
91.22705,33.4792
93.50537,779.2878
94.48291,780.2995
95.45947,781.3112
96.43555,782.31903
97.41211,783.32684
98.38818,784.34247
99.364746,785.3503
100.34375,787.3581
99.898926,37.315136
102.30859,799.2917
103.28467,800.2995
104.26123,801.31903
105.237305,802.32294
106.21484,803.33466
107.19141,804.3464
108.16797,805.3503
109.14697,807.3581
108.572266,42.096386
109.54346,44.21748
110.50928,45.377636
111.476074,46.537792
112.44238,47.713573
115.15234,937.4323
116.12988,938.4401
117.106445,939.45575
118.08301,940.46356
119.05957,941.4714
120.03613,942.4831
121.01221,943.4909
121.992676,947.4792
122.96924,948.4909
123.9458,949.4987
124.92139,950.51044
125.898926,951.52606
126.87549,952.5339
127.85254,953.5339
128.90283,1017.0573
129.8794,1018.0612
130.85645,1019.07684
131.8335,1020.08466
132.80908,1021.0964
133.78613,1022.1042
134.7627,1023.1159
135.74268,1027.1003
136.71973,1028.112
137.6958,1029.1199
138.67285,1030.1316
139.64941,1031.1355
140.62646,1032.1511
141.60303,1033.155
142.58301,1037.1511
143.55957,1038.155
144.53613,1039.1707
145.5127,1040.1746
146.48926,1041.1863
147.46533,1042.1941
148.4419,1043.2019
149.42236,1047.1902
150.39844,1048.2019
151.37549,1049.2175
152.35205,1050.2253
153.32861,1051.237
154.30566,1052.237
155.28174,1053.2488
156.2622,1057.2332
157.23877,1058.2488
158.21533,1059.2566
159.19287,1060.2644
160.16895,1061.2722
161.14453,1062.2878
162.1211,1063.2957
163.10205,1067.2839
164.07812,1068.2878
165.05469,1069.3035
166.03125,1070.3191
167.00879,1071.323
167.98535,1072.3347
168.96143,1073.3503
169.94238,1077.3308
170.91846,1078.3347
171.89502,1079.3425
172.87207,1080.3582
173.84863,1081.3699
174.82568,1082.3855
175.80127,1083.3933
176.78125,1087.3777
177.75781,1088.3816
178.73486,1089.3972
179.71094,1090.405
180.68799,1091.4128
181.66553,1092.4285
182.64209,1093.4324
183.62256,1097.4246
184.59814,1098.4285
185.5747,1099.4441
186.55127,1100.448
187.52881,1101.4636
188.5044,1102.4714
189.48193,1103.4832
190.46143,1107.4714
191.43652,1108.4792
192.41406,1109.487
193.39111,1110.5027
194.36816,1111.5105
195.34473,1112.5261
196.32031,1113.53
197.30078,1117.5183
198.27734,1118.5222
199.2539,1119.5378
200.23145,1120.5496
201.20801,1121.5535
202.18457,1122.5691
203.16064,1123.573
204.14062,1127.5574
205.11816,1128.573
206.09521,1129.5808
207.0708,1130.5925
208.04736,1131.6042
209.02393,1132.612
210.00049,1133.6199
210.98096,1137.6082
211.95752,1138.616
212.93506,1139.6277
213.91064,1140.6394
214.8872,1141.6472
215.86475,1142.655
216.84082,1143.6707
217.8208,1147.655
218.79736,1148.6707
219.77393,1149.6667
220.75,1150.6785
221.72656,1151.6941
222.7041,1152.7058
223.68018,1153.7175
224.66113,1157.7019
225.63672,1158.7058
226.61426,1159.7253
227.58984,1160.7332
228.56738,1161.741
229.54346,1162.7488
230.52051,1163.7683
231.50098,1167.7527
232.47754,1168.7527
233.4541,1169.7722
234.43066,1170.7761
235.40674,1171.7839
236.3833,1172.8035
237.35986,1173.8035
238.3872,1217.4792
239.36377,1218.487
240.34082,1219.4949
241.31592,1220.5066
242.29297,1221.5144
243.27051,1222.53
244.2461,1223.5339
245.23877,1237.4441
246.21533,1238.4558
243.46191,-14.032521
244.4375,-13.13799
245.42969,-5.2512712
246.40674,-4.3645525
247.38281,-3.48174
248.35938,-2.5833025
249.33594,-1.7004901
250.32129,4.1823225
251.29785,5.0768538
252.27441,5.9635725
253.86133,294.76044
254.83789,295.65106
255.81445,296.5417
256.79102,297.4284
257.7666,298.31903
258.75195,303.20184
259.10986,12.186229
260.08643,13.0729475
261.06348,13.971385
262.03955,14.858104
263.01562,15.73701
263.9922,16.623728
264.97705,21.514353
265.95312,22.401072
266.93018,23.29951
267.90674,24.182322
268.8833,25.072947
269.8589,25.963572
270.83594,26.854197
273.15723,547.14325
274.15186,554.9714
273.76953,31.514353
274.74658,32.408886
275.72266,33.2917
276.69824,34.182323
281.77344,1611.1511
282.7661,1625.0691
283.7422,1626.0652
284.71875,1627.0769
285.6953,1628.0886
286.67285,1629.1042
287.64844,1630.1082
288.625,1631.1199
289.60547,1635.1042
290.58154,1636.112
291.55908,1637.1277
292.53516,1638.1355
293.51123,1639.1472
294.48926,1640.155
295.46533,1641.1667
296.44434,1645.155
297.4214,1646.1707
298.39844,1647.1746
299.3755,1648.1863
300.35107,1649.198
301.32764,1650.2058
302.14697,1518.2683
303.12354,1519.2761
304.0996,1520.2839
305.07617,1521.2957
306.0537,1522.3113
307.0332,1526.2917
308.00977,1527.2996
308.9873,1528.3074
309.9629,1529.3191
310.93945,1530.3308
311.9165,1531.3347
312.8916,1532.3464
313.87305,1536.3386
314.8496,1537.3425
315.82617,1538.3542
316.8037,1539.362
317.7793,1540.3738
318.75488,1541.3855
319.7329,1542.3972
320.7119,1546.3816
321.68896,1547.3933
322.66602,1548.4011
323.64307,1549.4128
324.61865,1550.4246
325.59717,1551.4324
326.57275,1552.4402
327.55322,1556.4246
328.5293,1557.4402
329.50635,1558.4519
330.48242,1559.4558
331.45898,1560.4714
332.43555,1561.487
333.4121,1562.491
334.39258,1566.4792
335.36914,1567.4832
336.3457,1568.4949
337.32227,1569.5066
338.29883,1570.5144
339.27588,1571.5183
340.25244,1572.5378
341.2329,1576.5222
342.20898,1577.5378
343.18604,1578.5417
344.1621,1579.5457
345.13867,1580.5691
346.11475,1581.5691
347.0913,1582.5808
348.07178,1586.5691
349.04834,1587.5769
350.0249,1588.5886
351.00195,1589.5925
351.979,1590.612
