row_id,itemid
1.2965393,50799.625
2.289917,50800.625
3.2833557,50801.63
4.2767334,50802.63
5.2701416,50803.633
6.263611,50804.633
7.256958,50805.637
8.250916,50806.637
9.24762,50807.64
10.244385,50808.65
11.241028,50809.652
12.237732,50810.656
13.234467,50811.66
14.23114,50812.664
15.227905,50813.668
16.22464,50814.67
17.221375,50815.676
18.218018,50816.68
19.214722,50817.684
20.211456,50818.688
21.2081,50819.69
22.204803,50820.695
23.201538,50821.7
24.198242,50822.703
25.194977,50823.707
26.19165,50824.71
27.188416,50825.715
28.18509,50826.72
29.181793,50827.723
30.178497,50828.727
31.175201,50829.73
32.171906,50830.734
33.16864,50831.74
34.165314,50832.742
35.16211,50833.746
36.158752,50834.75
37.155487,50835.754
38.15216,50836.758
39.148895,50837.766
40.14557,50838.77
41.142303,50839.773
42.139008,50840.777
43.13571,50841.78
44.132446,50842.785
45.12912,50843.79
46.125824,50844.793
47.122528,50845.797
48.119263,50846.8
49.115936,50847.805
50.11264,50848.81
51.109375,50849.812
52.10605,50850.816
53.102783,50851.82
54.099457,50852.824
55.096252,50853.83
56.092896,50854.832
57.08963,50855.836
58.086304,50856.84
59.08304,50857.844
60.079742,50858.848
61.076416,50859.85
62.07318,50860.855
63.069855,50861.86
64.06656,50862.863
65.06329,50863.867
66.06,50864.87
67.05667,50865.875
68.053406,50866.883
69.05014,50867.887
70.046875,50868.89
71.04355,50869.895
72.04016,50870.9
73.03693,50871.902
74.03363,50872.906
75.030365,50873.91
76.02707,50874.914
77.02377,50875.918
78.02048,50876.92
79.01721,50877.926
80.01395,50878.93
81.01062,50879.934
82.00729,50880.938
83.00397,50881.94
84.0007,50882.945
84.997406,50883.95
85.99414,50884.953
86.990875,50885.957
87.98752,50886.96
88.98428,50887.965
89.98099,50888.97
90.97766,50889.973
91.974396,50890.977
92.97107,50891.98
93.967834,50892.984
94.96451,50893.99
95.96118,50894.996
96.95792,50896.0
97.95462,50897.004
98.951324,50898.008
99.94806,50899.01
100.94476,50900.016
101.94144,50901.02
102.93817,50902.023
103.934875,50903.027
104.93161,50904.03
105.92825,50905.035
106.92499,50906.04
107.92169,50907.043
108.91843,50908.047
109.9151,50909.05
110.911804,50910.055
111.90854,50911.06
112.90524,50912.062
113.90195,50913.066
114.89868,50914.07
115.895325,50915.074
116.89209,50916.08
117.88873,50917.082
118.88547,50918.086
119.8822,50919.09
120.87891,50920.094
121.87561,50921.098
122.87227,50922.1
123.86903,50923.105
124.86574,50924.113
125.86244,50925.117
126.85913,50926.12
127.855835,50927.125
128.85257,50928.13
129.84929,50929.133
130.84596,50930.137
131.84268,50931.14
132.83939,50932.145
133.83609,50933.15
134.83278,50934.152
135.82954,50935.156
136.82617,50936.16
137.82294,50937.164
138.81964,50938.168
139.81633,50939.17
140.81303,50940.176
141.80974,50941.18
142.80646,50942.184
143.80319,50943.188
144.7999,50944.19
145.7966,50945.195
146.79332,50946.2
147.79,50947.203
148.78671,50948.207
149.78342,50949.21
150.78014,50950.215
151.77681,50951.22
152.77354,50952.223
153.77023,50953.23
154.76694,50954.234
155.76366,50955.24
156.76039,50956.242
157.7571,50957.246
158.7538,50958.25
159.75049,50959.254
160.74718,50960.258
161.74391,50961.26
162.74062,50962.266
163.73735,50963.27
164.73404,50964.273
165.73074,50965.277
166.72748,50966.28
167.72418,50967.285
168.7209,50968.29
169.71756,50969.293
170.7143,50970.297
171.711,50971.3
172.7077,50972.305
173.70442,50973.31
174.70113,50974.312
175.69783,50975.316
176.69455,50976.32
177.69125,50977.324
178.68794,50978.33
179.68468,50979.332
180.68135,50980.336
181.67809,50981.344
182.67474,50982.348
183.67148,50983.35
184.66814,50984.355
185.6649,50985.36
186.6616,50986.363
187.99164,50987.78
188.98834,50988.785
189.98506,50989.79
190.9818,50990.793
191.97845,50991.797
192.97516,50992.8
193.97186,50993.805
194.96858,50994.81
195.96529,50995.812
196.96199,50996.816
197.95872,50997.82
198.95541,50998.824
199.95212,50999.83
200.94884,51000.832
201.94557,51001.836
202.94225,51002.84
203.93896,51003.844
204.93567,51004.848
205.93237,51005.85
206.9291,51006.855
207.9258,51007.86
208.9225,51008.863
209.91922,51009.867
210.91592,51010.87
211.91258,51011.875
212.90935,51012.88
213.90605,51013.887
214.90276,51014.89
215.8995,51015.895
216.89618,51016.9
217.89288,51017.902
218.8896,51018.906
219.8863,51019.91
220.88303,51020.914
221.8797,51021.918
222.87643,51022.92
223.87312,51023.926
224.86983,51024.93
225.86655,51025.934
226.86328,51026.938
227.85995,51027.94
228.85669,51028.945
229.85338,51029.95
230.85007,51030.953
231.84677,51031.957
232.8435,51032.96
233.8402,51033.965
234.8369,51034.97
235.8336,51035.973
236.83034,51036.977
237.82703,51037.98
238.82376,51038.984
239.82045,51039.99
240.81715,51040.992
241.81384,51041.996
242.81058,51043.004
243.80728,51044.008
244.80397,51045.01
245.8007,51046.016
246.79738,51047.02
247.7941,51048.023
248.7908,51049.027
249.78754,51050.03
250.78421,51051.035
251.78094,51052.04
252.77765,51053.043
253.77435,51054.047
254.77106,51055.05
255.76776,51056.055
256.76447,51057.06
257.76117,51058.062
258.7579,51059.066
259.7546,51060.07
260.75128,51061.074
261.74802,51062.08
262.7447,51063.082
263.74146,51064.086
264.74344,51065.09
265.75555,51066.086
266.7677,51067.086
267.77982,51068.082
268.79193,51069.08
269.80405,51070.08
270.8162,51071.074
271.8283,51072.074
272.84042,51073.07
273.85254,51074.07
274.86465,51075.066
275.8768,51076.062
276.88892,51077.062
277.90106,51078.06
278.91318,51079.06
279.9253,51080.055
280.9374,51081.05
281.94952,51082.05
282.96167,51083.047
283.9738,51084.047
284.9859,51085.043
285.99554,51086.04
287.00238,51087.035
288.00922,51088.03
289.01605,51089.023
290.02292,51090.02
291.02972,51091.016
292.0366,51092.01
293.04343,51093.004
294.05026,51094.0
295.0571,51094.996
296.06393,51095.992
297.07077,51096.984
298.0776,51097.98
299.08444,51098.977
300.0913,51099.973
301.09814,51100.965
302.10495,51101.96
303.11182,51102.957
