subseq_start_index,matrix_profile_value,gt_subseq,pred_label_best,score
0,2.1763604987479717,0,0,2.1763604987479717
1,1.8106561560925478,0,0,1.8106561560925478
2,2.304508773043039,0,0,2.304508773043039
3,2.304508773043039,0,0,2.304508773043039
4,2.304508773043039,0,0,2.304508773043039
5,2.4897769552245523,0,0,2.4897769552245523
6,2.4897769552245523,0,0,2.4897769552245523
7,2.3403886953231536,0,0,2.3403886953231536
8,2.3403886953231536,0,0,2.3403886953231536
9,2.3403886953231536,0,0,2.3403886953231536
10,2.3403886953231536,0,0,2.3403886953231536
11,3.154710168111334,0,0,3.154710168111334
12,3.345689442969373,0,0,3.345689442969373
13,3.4670760211415783,0,0,3.4670760211415783
14,3.4670760211415783,0,0,3.4670760211415783
15,3.4670760211415783,0,0,3.4670760211415783
16,3.4670760211415783,0,0,3.4670760211415783
17,3.4670760211415783,0,0,3.4670760211415783
18,4.047904293203214,0,0,4.047904293203214
19,4.610811282886936,0,0,4.610811282886936
20,4.200788034676364,0,0,4.200788034676364
21,4.200788034676364,0,0,4.200788034676364
22,4.200788034676364,0,0,4.200788034676364
23,4.714704965651165,0,0,4.714704965651165
24,4.91499444566195,0,0,4.91499444566195
25,4.8419911181367885,0,0,4.8419911181367885
26,4.43373632222035,0,0,4.43373632222035
27,4.43373632222035,0,0,4.43373632222035
28,4.433736322220349,0,0,4.433736322220349
29,4.9186022039976045,0,0,4.9186022039976045
30,5.0041858892799125,0,0,5.0041858892799125
31,5.111567308719384,0,0,5.111567308719384
32,5.038048537078088,0,0,5.038048537078088
33,5.038048537078088,0,0,5.038048537078088
34,5.038048537078088,0,0,5.038048537078088
35,5.038048537078086,0,0,5.038048537078086
36,5.038048537078086,0,0,5.038048537078086
37,4.852241479324886,0,0,4.852241479324886
38,4.168991186379784,0,0,4.168991186379784
39,4.168991186379784,0,0,4.168991186379784
40,4.168991186379784,0,0,4.168991186379784
41,4.168991186379783,0,0,4.168991186379783
42,4.168991186379783,0,0,4.168991186379783
43,4.146569449523858,0,0,4.146569449523858
44,4.256459373624284,0,0,4.256459373624284
45,4.256459373624285,0,0,4.256459373624285
46,4.256459373624285,0,0,4.256459373624285
47,4.256459373624285,0,0,4.256459373624285
48,4.256459373624285,0,0,4.256459373624285
49,4.0137529390544,0,0,4.0137529390544
50,4.445130038922294,0,0,4.445130038922294
51,5.46494949972683,0,0,5.46494949972683
52,5.46494949972683,0,0,5.46494949972683
53,5.46494949972683,0,0,5.46494949972683
54,5.462673925176985,0,0,5.462673925176985
55,5.001743232364359,0,0,5.001743232364359
56,4.596888564501997,0,0,4.596888564501997
57,5.356022947891334,0,0,5.356022947891334
58,5.355803356850786,0,0,5.355803356850786
59,5.233216517605154,0,0,5.233216517605154
60,5.233216517605154,0,0,5.233216517605154
61,5.233216517605154,0,0,5.233216517605154
62,5.204035822994264,0,0,5.204035822994264
63,5.601965993111648,0,1,5.601965993111648
64,5.845382242828559,0,1,5.845382242828559
65,5.794486529062325,0,1,5.794486529062325
66,5.411112611420712,0,0,5.411112611420712
67,5.411112611420712,0,0,5.411112611420712
68,5.5680205875928355,0,0,5.5680205875928355
69,5.182109650277624,0,0,5.182109650277624
70,5.182109650277624,0,0,5.182109650277624
71,5.182109650277624,0,0,5.182109650277624
72,5.182109650277624,0,0,5.182109650277624
73,5.182109650277624,0,0,5.182109650277624
74,5.299442505900524,0,0,5.299442505900524
75,5.558119608078481,0,0,5.558119608078481
76,5.645815330409122,0,1,5.645815330409122
77,5.454881738875712,0,0,5.454881738875712
78,5.628963876978397,0,1,5.628963876978397
79,5.628963876978397,0,1,5.628963876978397
80,5.58361759854979,0,1,5.58361759854979
81,5.23732379360611,0,0,5.23732379360611
82,5.23732379360611,0,0,5.23732379360611
83,5.23732379360611,0,0,5.23732379360611
84,4.8580405950627545,0,0,4.8580405950627545
85,3.966985388042082,0,0,3.966985388042082
86,3.966985388042082,0,0,3.966985388042082
87,2.871469810240915,0,0,2.871469810240915
88,2.871469810240917,0,0,2.871469810240917
89,2.871469810240917,0,0,2.871469810240917
90,2.6998076986072954,0,0,2.6998076986072954
91,2.6998076986072954,0,0,2.6998076986072954
92,2.6998076986072936,0,0,2.6998076986072936
93,2.319702122262827,0,0,2.319702122262827
94,1.8323058776865608,0,0,1.8323058776865608
95,1.8323058776865608,0,0,1.8323058776865608
96,2.215925786678048,0,0,2.215925786678048
97,2.6294813273573823,0,0,2.6294813273573823
98,2.6294813273573823,0,0,2.6294813273573823
99,2.6294813273573823,0,0,2.6294813273573823
100,2.62948132735738,0,0,2.62948132735738
101,2.7605656411459885,0,0,2.7605656411459885
102,3.915319042829549,0,0,3.915319042829549
103,4.581830621459669,0,0,4.581830621459669
104,4.581830621459669,0,0,4.581830621459669
105,4.5818306214596705,0,0,4.5818306214596705
106,4.5818306214596705,0,0,4.5818306214596705
107,4.793931737177353,0,0,4.793931737177353
108,4.7939317371773535,0,0,4.7939317371773535
109,4.6453786013874945,0,0,4.6453786013874945
