Index,Decision_Score,Anomaly_Label
0,0.07564570812675075,Normal
1,-3.381529955825968e-06,Anomaly
2,0.08094485322272194,Normal
3,0.08213744273157575,Normal
4,0.06613415465332029,Normal
5,0.0823411973403596,Normal
6,0.0018756338628076463,Normal
7,0.08246513677363487,Normal
8,0.06268834179168592,Normal
9,0.057254141951568416,Normal
10,0.06884470654650254,Normal
11,0.07885217644250098,Normal
12,0.06981540261971286,Normal
13,0.08207667313049072,Normal
14,0.00018843988352301722,Normal
15,0.08130321499179072,Normal
16,0.04069458724482122,Normal
17,0.009348182408873917,Normal
18,0.07839599257776686,Normal
19,0.05633884444812276,Normal
20,0.0784391880802473,Normal
21,0.002607933654884098,Normal
22,0.00028280483724962835,Normal
23,0.0016892369595955525,Normal
24,0.08245758565147376,Normal
25,-0.007189882181178442,Anomaly
26,-0.0005390121164075001,Anomaly
27,0.03495327010238558,Normal
28,0.0025605677728905984,Normal
29,0.04170173025672019,Normal
30,0.06322912334707298,Normal
31,0.07543049100629617,Normal
32,0.08126059757404747,Normal
33,0.08210746994976614,Normal
34,0.06031450620126888,Normal
35,0.0491750571631937,Normal
36,0.05335207825699473,Normal
37,0.05653325265712228,Normal
38,0.04136847857068915,Normal
39,0.05136570024067444,Normal
40,0.08218638319836136,Normal
41,0.03545274289374989,Normal
42,0.08040214908293297,Normal
43,0.0027588812453318567,Normal
44,0.01824941222065468,Normal
45,0.0379463263534312,Normal
46,0.07852786735801986,Normal
47,0.08072856857860411,Normal
48,0.0002971335150872001,Normal
49,0.08003224404775588,Normal
50,0.08097371702347522,Normal
51,0.07912305275010167,Normal
52,0.06752787609607025,Normal
53,0.07822991748782293,Normal
54,-0.0005687059643983972,Anomaly
55,-0.2462404524655062,Anomaly
56,0.0024032206161568315,Normal
57,0.0758995986612514,Normal
58,0.04350482304488157,Normal
59,0.08217491567472779,Normal
60,0.0617694264202997,Normal
61,0.05908545228865858,Normal
62,0.03255487067214502,Normal
63,0.046927208839837364,Normal
64,0.06500482564787746,Normal
65,0.07757157281945837,Normal
66,0.060582137990504936,Normal
67,0.06077044002125964,Normal
68,0.00018845252997867767,Normal
69,0.0021567366303529845,Normal
70,0.08118366784823694,Normal
71,0.05563573904777397,Normal
72,0.0008688185685088445,Normal
73,0.0820331854484786,Normal
74,0.06641448239810921,Normal
75,0.038654524263963985,Normal
76,0.07641599445530334,Normal
77,0.0027993946422213423,Normal
78,0.06963825326827822,Normal
79,0.0008525112125654655,Normal
80,0.08148476675365468,Normal
81,0.07761193844196845,Normal
82,0.0028022111852152864,Normal
83,0.0028008084492572305,Normal
84,0.08181027519220185,Normal
85,0.033483716007983944,Normal
86,0.0675417818487003,Normal
87,0.04135094196005995,Normal
88,0.0771404525334285,Normal
89,0.08013081428135727,Normal
90,0.0411753444983296,Normal
91,0.06679232706615479,Normal
92,0.05488945714781002,Normal
93,0.08064988435681086,Normal
94,0.0757999480150282,Normal
95,0.08034137407466946,Normal
96,0.04803235509782211,Normal
97,0.029732620440002577,Normal
98,0.0004465007836815804,Normal
99,0.06495776250403451,Normal
100,0.0016437044007056034,Normal
101,0.022965439219153172,Normal
102,0.06010324318561855,Normal
103,0.043510494847199155,Normal
104,0.061198742089270786,Normal
105,-0.0005413216115468522,Anomaly
106,0.05553904906884388,Normal
107,0.053636026200274856,Normal
108,0.08027497747577028,Normal
109,0.05181858340878054,Normal
110,0.027006484998808755,Normal
111,-0.00024047240076141563,Anomaly
112,0.07775873162447011,Normal
113,0.07890330686458502,Normal
114,0.05444842159682195,Normal
115,0.05605703521334515,Normal
116,0.07240590535474856,Normal
117,0.08085723405734413,Normal
118,0.0820249487078617,Normal
119,0.04977216704043874,Normal
120,0.04039771366573097,Normal
121,0.0026116411011321006,Normal
122,0.08234799011751281,Normal
123,0.08248086803647348,Normal
124,0.05298058999092237,Normal
125,0.08042597377388772,Normal
126,0.06551431137736707,Normal
127,0.00026641714706676645,Normal
128,0.06687396608554574,Normal
129,0.08046535926747334,Normal
130,0.08192862630193787,Normal
131,0.06484275695888053,Normal
132,0.03309430240547995,Normal
133,0.0001282820681711705,Normal
134,0.06729868921177506,Normal
135,0.040665757988596285,Normal
