sequence_start_index,reconstruction_error,is_anomaly
0,0.006938882734000766,0
1,0.00617846991998622,0
2,0.00494247707916198,0
3,0.004259721255670045,0
4,0.004461160919392392,0
5,0.0042419918789926205,0
6,0.0041194437524620445,0
7,0.0031773024245124208,0
8,0.0031276638103070625,0
9,0.003317032882948723,0
10,0.00295776892271871,0
11,0.003214626641868827,0
12,0.002647283267031765,0
13,0.0027526364879696392,0
14,0.0028011776722715793,0
15,0.002797544694249557,0
16,0.0032503074612114874,0
17,0.0038434414636871203,0
18,0.004447291015903286,0
19,0.014914017066365711,0
20,0.008639621989296057,0
21,0.01130052751749529,0
22,0.009683316664523853,0
23,0.01597000593047588,0
24,0.010495891680185446,0
25,0.008578002181786575,0
26,0.010367995311830188,0
27,0.011865891781648829,0
28,0.01441213401915718,0
29,0.01715192040238065,0
30,0.015962225139105557,0
31,0.01841649148344177,0
32,0.02446681537147472,0
33,0.030553473049270342,0
34,0.027614267771249007,0
35,0.026613337713379946,0
36,0.023690039735432634,0
37,0.030913982246884943,0
38,0.008889077737181802,0
39,0.005801796638636949,0
40,0.00495993711145876,0
41,0.004243595932757216,0
42,0.004250735732030851,0
43,0.003850621484207196,0
44,0.004128633594362453,0
45,0.0028930398332927734,0
46,0.002899929165139985,0
47,0.003056364574822063,0
48,0.003062661531790071,0
49,0.0036805632900010162,0
50,0.003169807163743451,0
51,0.003469093575472602,0
52,0.003831484444451738,0
53,0.004054823782657893,0
54,0.01259103719478281,0
55,0.012054758526900237,0
56,0.01410989284691925,0
57,0.011781761814199421,0
58,0.017670725983550628,0
59,0.011345283633360563,0
60,0.010448785493702982,0
61,0.011847376372841193,0
62,0.011825537403393696,0
63,0.011643561998444813,0
64,0.01308530566695719,0
65,0.01061245131481379,0
66,0.013606467167458424,0
67,0.008907458656166736,0
68,0.008163898178150138,0
69,0.011773183185678037,0
70,0.013613131813112139,0
71,0.011445891997943231,0
72,0.01533673207333695,0
73,0.007058341489264526,0
74,0.004675251411107946,0
75,0.004564207921736026,0
76,0.004099233758803056,0
77,0.004383570344118048,0
78,0.003987274067598317,0
79,0.003337441343402908,0
80,0.003276548233649071,0
81,0.002728576689537771,0
82,0.0032568016776265305,0
83,0.0025012095554405637,0
84,0.0028281327227800304,0
85,0.002683649290802391,0
86,0.003695861208712601,0
87,0.005099851614196144,0
88,0.004056482308295886,0
89,0.003678254819200904,0
90,0.0035744142172094637,0
91,0.0038288264982871225,0
92,0.004941385991744582,0
93,0.005190351463135534,0
94,0.00529999548254626,0
95,0.005394311018555253,0
96,0.005371210067794624,0
97,0.005395006122604495,0
98,0.005383042748647794,0
99,0.005639712851015416,0
100,0.00591894728767552,0
101,0.006244075092347087,0
102,0.006457221921930949,0
103,0.00693984310190252,0
104,0.007403169523670613,0
105,0.00808402810741141,0
106,0.007922035877227078,0
107,0.007557362453917566,0
108,0.01981590603298559,0
109,0.019837072177601434,0
110,0.015227563861790794,0
111,0.014190234015734503,0
112,0.013327367627608822,0
113,0.011624491467814458,0
114,0.010859372122341237,0
115,0.015257416793351885,0
116,0.015471794415636998,0
117,0.01696013220399591,0
118,0.02094336751140121,0
119,0.020026481610742393,0
120,0.0219772779991205,0
121,0.020567158220296988,0
122,0.02089557986656066,0
123,0.02254951500655953,0
124,0.04784747695235241,0
125,0.033219827202211935,0
126,0.017331896068646935,0
127,0.016314462700962037,0
128,0.016029837065974658,0
129,0.016533710807857878,0
130,0.016627311807642157,0
131,0.01680903336780974,0
132,0.017018638261474265,0
133,0.01660491746227466,0
134,0.01509706400514083,0
135,0.013172337988947888,0
136,0.014468535987238887,0
137,0.00954217140166581,0
138,0.006261920232006874,0
139,0.005874599211367447,0
140,0.0033398795024117433,0
141,0.003372678838821581,0
142,0.0037079738378304203,0
143,0.00389059719671956,0
144,0.0054045650987246535,0
145,0.006277056933744932,0
146,0.006405233377497775,0
147,0.006154240333746398,0
148,0.009282610089302899,0
149,0.011001164364663807,0
150,0.010160842181536381,0
151,0.014070291502558077,0
152,0.0181563297909264,0
153,0.020810310293489342,0
154,0.020247702370337205,0
155,0.017218810138864938,0
156,0.01765890815736118,0
157,0.01966982591594533,0
158,0.024357839931843973,0
159,0.02562528669368238,0
160,0.03294911947501434,0
161,0.03987557845318206,0
162,0.03918649338358817,0
163,0.02823818070063077,0
164,0.0351628049307106,0
165,0.03242429974785106,0
166,0.025809160006529754,0
167,0.04010671533447372,0
168,0.0527927497392192,0
169,0.028869317206437966,0
170,0.007302969031853504,0
171,0.004640616428469584,0
172,0.0041340749748185555,0
173,0.004289972501215386,0
174,0.004173449726980463,0
175,0.004087306831682023,0
176,0.00331445860588891,0
177,0.003261701159837984,0
178,0.0034888791603548503,0
179,0.0031823353659307615,0
180,0.003086716072398729,0
181,0.0032471726170953063,0
182,0.005445816432254677,0
183,0.007622062320603776,0
184,0.019114821148769924,0
185,0.01867364158770276,0
186,0.01830161333787276,0
187,0.018400845027466167,0
188,0.020094112212350704,0
189,0.022006149453234786,0
190,0.024331929398344575,0
191,0.025313816555172237,0
192,0.025778861087245204,0
193,0.02597031925714251,0
194,0.02604497237677652,0
195,0.026397872619976975,0
196,0.02689416618748406,0
197,0.02706638513047708,0
198,0.027370119231805844,0
199,0.027498854127439513,0
200,0.02762530491246738,0
201,0.027095854373430234,0
202,0.02629449284223463,0
203,0.023124348345998018,0
204,0.010256330831266073,0
205,0.009741322081833263,0
206,0.007828442022728083,0
207,0.005308113370538142,0
