Index,Reconstruction_Error,Pred_Anomaly,GT_Anomaly
0,0.7193144058167441,0,0
1,0.6795016601832208,0,0
2,0.6933912652652846,0,0
3,0.6697640581692044,0,0
4,0.6687561247133118,0,0
5,0.6786672164615953,0,0
6,0.7197410871649418,0,0
7,0.7170616574647779,0,0
8,0.7646810685938084,0,0
9,0.69641164483147,0,0
10,0.6575839015810608,0,0
11,0.6542902845972746,0,0
12,2.6431586822279023,0,1
13,0.6641903318379563,0,0
14,0.6154803439747311,0,0
15,0.7260559274265761,0,0
16,0.6784012442603934,0,0
17,0.9266019755141218,0,0
18,1.3001485618680608,0,0
19,4.504949203105288,1,1
20,0.8146756046277462,0,0
21,14.098147707727845,1,1
22,0.14021905507870733,0,0
23,0.1308447668941097,0,0
24,0.12107311385957158,0,0
25,0.11718528022120771,0,0
26,0.15112697579951284,0,0
27,2.0638052688125437,0,1
28,0.11265027891222362,0,0
29,0.12570951596387217,0,0
30,0.06236922527863297,0,0
31,0.08270800333183405,0,0
32,0.06989256992541627,0,0
33,0.13463403330327947,0,0
34,0.12370819055579131,0,0
35,0.1271720975383152,0,0
36,0.023528904216429766,0,0
37,5.482797725190699,1,1
38,0.11672582106953754,0,0
39,0.14348506192273672,0,0
40,0.07170976158372523,0,0
41,0.1918887174091416,0,0
42,0.3196881868925911,0,0
43,0.04331326543595215,0,0
44,0.14144299914294112,0,0
45,0.14645924751124853,0,0
46,0.15726084203622287,0,0
47,0.14256496437211474,0,0
48,0.1481343228520401,0,0
49,0.10868585827047406,0,0
50,0.4495602387217164,0,0
51,1.249603848253935,0,1
52,0.13659718970377407,0,0
53,0.11962970479629854,0,0
54,0.1497913095278736,0,0
55,0.09313233078072786,0,0
56,0.36740119458522225,0,0
57,0.08323012098976633,0,0
58,0.16867830350374058,0,0
59,0.047525099515026065,0,0
60,0.14143737130895764,0,0
61,0.14141860433995757,0,0
62,0.15739333247243303,0,0
63,3.1222830493565987,0,1
64,0.18252866953519753,0,0
65,0.11672542288046649,0,0
66,0.30207576406594877,0,0
67,0.15915069796694162,0,0
68,7.283381741852879,1,1
69,0.15887613742054563,0,0
70,0.02303091892841502,0,0
